Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Double Springs to the Bridges,1176122,36.056823,-94.258199,36.054607,-94.317957
Wheeler Rd Climb,1200321,36.119857,-94.263074,36.103769,-94.241262
Habberton to 412,7028336,36.142199,-94.068154,36.159667,-94.076766
