Bike Name,Component Type,Component Brand,Component Model
Cannondale,Frame,Cannondale,R700
Cannondale,Pedals,Look,
Kona Honky Inc,Frame,Kona,Honky Inc
Scott Addict Gravel 30,Frame,Scott,Addict Gravel 30
